wtp_cad_per_qaly,expected_incremental_nmb,evpi_per_patient,probability_cost_effective
0,-9913.335042275563,0.0,0.0
10000,-9462.368388488632,0.0,0.0
20000,-9011.401734701702,0.0,0.0
30000,-8560.43508091477,0.0,0.0
40000,-8109.468427127841,0.0,0.0
50000,-7658.50177334091,0.0,0.0
60000,-7207.535119553981,0.0,0.0
70000,-6756.568465767051,0.0,0.0
80000,-6305.601811980121,0.0,0.0
90000,-5854.63515819319,0.6742887353261618,0.0016
100000,-5403.66850440626,2.717537675811833,0.0034
110000,-4952.70185061933,8.193231847806766,0.011
120000,-4501.7351968324,23.1237915876379,0.0262
130000,-4050.7685430454694,50.087403688837476,0.0464
140000,-3599.8018892585396,94.29538654591558,0.077
150000,-3148.835235471609,159.77933287661875,0.1098
160000,-2697.8685816846787,246.0952331393742,0.1474
170000,-2246.9019278977485,357.1448975814455,0.1912
180000,-1795.935274110818,496.92343256618847,0.2498
190000,-1344.9686203238878,668.1263969358802,0.3084
200000,-894.0019665369578,869.1836609324238,0.3676
210000,-443.0353127500275,1097.5287987605643,0.4222
220000,7.931341036902792,1341.845701700283,0.473
230000,458.897994823833,1166.2676174406647,0.52
240000,909.8646486107632,1012.4793940335139,0.574
250000,1360.8313023976934,878.6161360908445,0.6158
260000,1811.7979561846237,762.2901792267148,0.6582
270000,2262.764609971554,662.277069932808,0.6966
280000,2713.731263758484,575.0803874209196,0.7304
290000,3164.697917545415,499.9558588956502,0.7616
300000,3615.664571332345,434.54888675753546,0.7854
