source_id,tier,database,result_count_or_status,top_hits_or_key_records,url,note
pubmed,T1 API,MEDLINE/PubMed E-utilities,76,42012820;41562647;42339050;42296505;42250076;42233337;42228345;41936548;42180536;42099530,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28semaglutide%5BTitle%2FAbstract%5D%29+AND+%28obesity%5BTitle%2FAbstract%5D+OR+overweight%5BTitle%2FAbstract%5D%29+AND+%28cost-effectiveness%5BTitle%2FAbstract%5D+OR+cost+effectiveness%5BTitle%2FAbstract%5D+OR+pharmacoeconomic%2A%5BTitle%2FAbstract%5D+OR+economic+evaluation%5BTitle%2FAbstract%5D%29&retmode=json&retmax=10&sort=pub+date,API count and latest PMID IDs captured
crossref,T1 API,Crossref REST,broad API total not interpreted as eligible count,"A Short-Term Cost-Effectiveness Analysis of Tirzepatide Versus Semaglutide for the Treatment of Obesity in Greece | Overview of Semaglutide: Effectiveness, Side Effects, and Cost | Cost-effectiveness of semaglutide 2.4 mg versus liraglutide 3 mg for the treatment of obesity in Greece | Should additional value elements be included in cost-effectiveness analysis in pharmacoeconomic evaluation: a novel comm | Cost-effectiveness of paliperidone palmitate long-acting injectables for the treatment of schizophrenic patients: a join",https://api.crossref.org/works?query.bibliographic=semaglutide+obesity+cost-effectiveness+pharmacoeconomic&rows=10&filter=from-pub-date%3A2022-01-01,Cross-disciplinary bibliographic relevance search; requires screening
openalex,T1/T2 API,OpenAlex works,244,Weight Loss Outcomes Associated With Semaglutide Treatment for Patients With Overweight or Obesity | Cost-effectiveness analysis of semaglutide 2.4 mg for the treatment of adult patients with overweight and obesity in the | Molecular mechanisms of semaglutide and liraglutide as a therapeutic option for obesity | Cost-Effectiveness of Pharmacotherapy for the Treatment of Obesity in Adolescents | Cost-effectiveness analysis of 4 GLP-1RAs in the treatment of obesity in a US setting,https://api.openalex.org/works?search=semaglutide+obesity+cost-effectiveness+pharmacoeconomic&per-page=10&filter=from_publication_date%3A2022-01-01,Open bibliographic graph cross-check
semantic_scholar,T2 API,Semantic Scholar Graph,rate limited in this run,,https://api.semanticscholar.org/graph/v1/paper/search?query=semaglutide+obesity+cost-effectiveness+pharmacoeconomic&limit=10&fields=title%2Cyear%2Cvenue%2CexternalIds%2Curl,HTTP 429; rerun later or use API key
clinicaltrials,T1 API,ClinicalTrials.gov API v2,10,"NCT07564414: A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or With | NCT07202247: Metabolic Interventions (Time-Restricted Eating, GLP1 Receptor Agonist, and Heart Healthy Diet) to Improve Cardiometabolic Health in Pros | NCT04007107: A Study Comparing the Injection Site Pain Experience After the Injection of 2 Different Solutions of Semaglutide With 2 Different Injecti | NCT06706284: Glycemic and Weight Loss Effects of GLP-1R Agonist Therapy in Subjects With Spinal Cord Injury and Type 2 Diabetes | NCT05579249: A Research Study Comparing Wegovy to Other Weight Management Drugs in People Living With Obesity in America",https://clinicaltrials.gov/api/v2/studies?query.term=semaglutide+obesity&pageSize=10&format=json,Trial registry cross-check
cochrane,Manual/subscription check required,Cochrane Library/CENTRAL,not accessed structurally,,https://www.cochranelibrary.com/,Requires manual database search/export; search string prepared in supplement
cadth,HTA/public web,CADTH / NCBI Bookshelf,1 key review,Semaglutide (Wegovy): pharmacoeconomic review,https://www.ncbi.nlm.nih.gov/books/NBK601689/,Key source for public reference-case ICER
icer,HTA/public web,Institute for Clinical and Economic Review,2 key obesity reports,2022 obesity management; 2025/2026 semaglutide/tirzepatide obesity update,https://icer.org/assessment/obesity-management-2022/,Used for external price/value benchmark context
nice,HTA/public web,NICE guidance/supporting docs,1 economic review source,Literature review of economic evaluations of interventions for obesity,https://www.nice.org.uk/guidance/pmg50/documents/supporting-documentation-2,Used for economic-evaluation source mapping
embase,Institutional/manual required,Embase,not accessed,,,Requires institutional access; search string prepared in supplement
web_of_science,Institutional/manual required,Web of Science Core Collection,not accessed,,,Requires institutional access; search string prepared in supplement
scopus,Institutional/manual required,Scopus,not accessed,,,Requires institutional access; search string prepared in supplement
